product_id,demo,description
P01,Predictive Maintenance Command Center,"15-minute demonstration of NexaPredict capabilities, customer workflow and expected business value."
P02,Plant IoT Monitoring Dashboard,"15-minute demonstration of NexaMonitor capabilities, customer workflow and expected business value."
P03,AI Quality Inspection Demo,"15-minute demonstration of NexaVision capabilities, customer workflow and expected business value."
P04,Industrial Data Platform Walkthrough,"15-minute demonstration of NexaData capabilities, customer workflow and expected business value."
P05,Demand Forecasting Scenario,"15-minute demonstration of NexaForecast capabilities, customer workflow and expected business value."
P06,Production Optimization Simulator,"15-minute demonstration of NexaOptimize capabilities, customer workflow and expected business value."
P07,AI Safety Monitoring Demo,"15-minute demonstration of NexaSafety capabilities, customer workflow and expected business value."
P08,Edge Analytics Demo,"15-minute demonstration of NexaEdge capabilities, customer workflow and expected business value."
P09,Asset Health Dashboard,"15-minute demonstration of NexaAsset360 capabilities, customer workflow and expected business value."
P10,Packaging Inspection Demo,"15-minute demonstration of NexaQuality capabilities, customer workflow and expected business value."
P11,Operations Analytics Dashboard,"15-minute demonstration of NexaInsight capabilities, customer workflow and expected business value."
P12,Enterprise AI Control Center,"15-minute demonstration of NexaAI Hub capabilities, customer workflow and expected business value."
P13,Fleet Health Dashboard,"15-minute demonstration of NexaFleet capabilities, customer workflow and expected business value."
P14,Sensor Anomaly Detection,"15-minute demonstration of NexaAnomaly capabilities, customer workflow and expected business value."
P15,Plant Integration Architecture,"15-minute demonstration of NexaConnect capabilities, customer workflow and expected business value."
P16,Fraud Intelligence Command Center,"15-minute demonstration of transaction anomaly detection, fraud-risk prioritization and investigator workflow."
P17,Risk Portfolio Intelligence Demo,"15-minute demonstration of predictive risk scoring, portfolio monitoring and decision-support workflows."
P18,Customer 360 Analytics Demo,"15-minute demonstration of customer segmentation, service analytics and growth/retention signals."
P19,BFSI Data Intelligence Platform,"15-minute demonstration of governed banking data integration, analytics and API-ready data products."
P20,Patient Flow Optimization Demo,"15-minute demonstration of patient-flow analytics, queue visibility and capacity optimization."
P21,Healthcare Operations Command Center,"15-minute demonstration of workflow monitoring, KPI intelligence and operational anomaly detection."
P22,Healthcare Document Intelligence Demo,"15-minute demonstration of document extraction, classification and automated workflow routing."
P23,Healthcare Data Platform Walkthrough,"15-minute demonstration of integrated healthcare data, analytics and governance workflows."
P24,DataOps Observability Demo,"15-minute demonstration of pipeline monitoring, data-quality checks and operational alerts."
P25,Cloud Cost Intelligence Demo,"15-minute demonstration of cloud-spend analytics, anomaly detection and optimization opportunities."
P26,Customer Intelligence Demo,"15-minute demonstration of churn signals, customer segmentation and service analytics."
P27,Enterprise AI Control Center,"15-minute demonstration of governed AI deployment, model monitoring and use-case management."
P28,FMCG Vision Quality Demo,"15-minute demonstration of packaging, fill-level and production-line visual quality inspection."
P29,FMCG Data & Supply Chain Demo,"15-minute demonstration of integrated demand, production and supply-chain analytics."
